user,listened,total,percentage,hits,status
XIVA_holycity,210,306,68.62745098039215,88,ok
Goli_sen,210,306,68.62745098039215,81,ok
maegamisoyorin,210,306,68.62745098039215,61,ok
Magnus,210,306,68.62745098039215,50,ok
masiro46x,210,306,68.62745098039215,48,ok
oredayo1256,209,306,68.30065359477125,82,ok
xiluo_shiro,209,306,68.30065359477125,53,ok
kako00,208,306,67.97385620915033,82,ok
trinitywaldere2,208,306,67.97385620915033,70,ok
kabuo_1512wh,208,306,67.97385620915033,68,ok
likeLiSA0701,208,306,67.97385620915033,63,ok
chrono,208,306,67.97385620915033,28,ok
hokuhoku9810091,207,306,67.64705882352942,101,ok
7KoWa,207,306,67.64705882352942,74,ok
minato_kageaki,207,306,67.64705882352942,64,ok
KyleArtas1011,207,306,67.64705882352942,48,ok
nyanhase,207,306,67.64705882352942,46,ok
chelsea__lily,206,306,67.3202614379085,69,ok
C_Suprem,206,306,67.3202614379085,60,ok
JAPAN_RED,206,306,67.3202614379085,59,ok
pe__eee,206,306,67.3202614379085,53,ok
uniii,206,306,67.3202614379085,37,ok
lolikenji36,206,306,67.3202614379085,30,ok
sakurasora7,205,306,66.99346405228758,102,ok
khaos_enumaelis,205,306,66.99346405228758,77,ok
yama_inoriSide,205,306,66.99346405228758,49,ok
ofurobot,205,306,66.99346405228758,48,ok
r4mun3,205,306,66.99346405228758,42,ok
yutan0507,204,306,66.66666666666666,103,ok
CHLee_69,204,306,66.66666666666666,68,ok
Aile_strike,204,306,66.66666666666666,57,ok
SproutsTO,204,306,66.66666666666666,53,ok
Yuki_saechigo,204,306,66.66666666666666,45,ok
kana9999,203,306,66.33986928104575,59,ok
aru5rhythm,203,306,66.33986928104575,52,ok
A380,203,306,66.33986928104575,36,ok
kame_bazu,202,306,66.01307189542483,69,ok
ItStrikews,202,306,66.01307189542483,46,ok
k_ibis,202,306,66.01307189542483,43,ok
JagerBang,202,306,66.01307189542483,30,ok
Andes_stars,201,306,65.68627450980392,73,ok
sisisisiso,201,306,65.68627450980392,65,ok
Cre_croquette33,201,306,65.68627450980392,60,ok
8787tomato,201,306,65.68627450980392,59,ok
qq915713557,201,306,65.68627450980392,52,ok
sute_00,201,306,65.68627450980392,44,ok
tedder,200,306,65.359477124183,42,ok
RyuseiX,200,306,65.359477124183,41,ok
rosenkreuzrosec,199,306,65.0326797385621,67,ok
wolf66689_ab,199,306,65.0326797385621,67,ok
aguriangry,199,306,65.0326797385621,62,ok
Mukuchi_yng,199,306,65.0326797385621,60,ok
purato_4241,199,306,65.0326797385621,50,ok
Amipoli,199,306,65.0326797385621,46,ok
taeshizu_oxygen,199,306,65.0326797385621,46,ok
HARUOAO,199,306,65.0326797385621,42,ok
toaru_mimo,198,306,64.70588235294117,81,ok
mochineco315,198,306,64.70588235294117,67,ok
Ronny62,198,306,64.70588235294117,57,ok
Niji_dou,198,306,64.70588235294117,50,ok
murasame_aminos,198,306,64.70588235294117,49,ok
Rei_43817,198,306,64.70588235294117,49,ok
tarozesmarken,198,306,64.70588235294117,37,ok
cleve14nd2430,198,306,64.70588235294117,34,ok
mizuProducer,198,306,64.70588235294117,32,ok
UN,197,306,64.37908496732027,66,ok
nana7mi,197,306,64.37908496732027,59,ok
TangXiu,197,306,64.37908496732027,46,ok
youalphajanjan,197,306,64.37908496732027,44,ok
ann_2B2B,197,306,64.37908496732027,39,ok
kussogaki,196,306,64.05228758169935,31,ok
exvs2yumenokake,195,306,63.725490196078425,55,ok
y537bby,195,306,63.725490196078425,48,ok
ww,195,306,63.725490196078425,28,ok
yohiro_,194,306,63.39869281045751,77,ok
eseiker,194,306,63.39869281045751,48,ok
chennuo411,194,306,63.39869281045751,45,ok
izusa,194,306,63.39869281045751,38,ok
vvTuner,194,306,63.39869281045751,38,ok
homuhomu409,193,306,63.0718954248366,83,ok
migiwax,193,306,63.0718954248366,58,ok
nanokin00,193,306,63.0718954248366,43,ok
noritama_81,192,306,62.745098039215684,56,ok
a0,192,306,62.745098039215684,36,ok
ryafurafu,192,306,62.745098039215684,35,ok
JakeNonsuke,192,306,62.745098039215684,34,ok
creepig0519,192,306,62.745098039215684,31,ok
winter_rck,191,306,62.41830065359477,66,ok
ceass20xx_v2,191,306,62.41830065359477,53,ok
Hiroyuton,191,306,62.41830065359477,53,ok
chrono283,191,306,62.41830065359477,50,ok
snowolf132,191,306,62.41830065359477,44,ok
una_gentildonna,191,306,62.41830065359477,33,ok
halkas,190,306,62.091503267973856,108,ok
eb0g0000,190,306,62.091503267973856,91,ok
kingdish,190,306,62.091503267973856,74,ok
sddav124,190,306,62.091503267973856,68,ok
hiro_senritu,190,306,62.091503267973856,64,ok
Tantanize,190,306,62.091503267973856,61,ok
music7080803,190,306,62.091503267973856,59,ok
eterbless,190,306,62.091503267973856,58,ok
yamizokuseina,190,306,62.091503267973856,58,ok
masa_gktbs,189,306,61.76470588235294,91,ok
P0LK4M4N14,189,306,61.76470588235294,56,ok
l_ckclover,189,306,61.76470588235294,55,ok
T0Ran,189,306,61.76470588235294,47,ok
Fe3O4,189,306,61.76470588235294,45,ok
satonoya,188,306,61.43790849673203,70,ok
hinaduki,188,306,61.43790849673203,68,ok
Re_Tboyaki,188,306,61.43790849673203,43,ok
